name,short_name,type_ru,justification,lng,nearest_distance_m,nearest_monument,article,score
усадьба Остафьево,Усадьба Остафьево,усадьба / дворец / особняк,"Бывшая городская усадьба Вяземских-Шереметевых в селе Остафьево. До ближайшего монумента — «Дерево желаний», около 3.81 км.",37.50132,3811,Дерево желаний,https://ru.wikipedia.org/wiki/%D0%9E%D1%81%D1%82%D0%B0%D1%84%D1%8C%D0%B5%D0%B2%D0%BE_(%D1%83%D1%81%D0%B0%D0%B4%D1%8C%D0%B1%D0%B0),97
Крёкшино (усадьба),Усадьба Крёкшино,усадьба / дворец / особняк,"Подойдёт для спокойного знакомства с московской усадебной архитектурой. Есть выявленный охранный статус. До ближайшего монумента — «Лосиха и лосёнок», около 3.74 км.",37.1075,3742,Лосиха и лосёнок,https://ru.wikipedia.org/wiki/%D0%9A%D1%80%D1%91%D0%BA%D1%88%D0%B8%D0%BD%D0%BE_(%D1%83%D1%81%D0%B0%D0%B4%D1%8C%D0%B1%D0%B0),97
Сергиевское-Коньково,Усадьба Сергиевское-Коньково,усадьба или дворец,"Подойдёт для спокойного знакомства с московской усадебной архитектурой. Есть федеральный охранный статус. До ближайшего монумента — «Bitsa forest», около 2.69 км.",37.51916667,2685,Bitsa forest,https://ru.wikipedia.org/wiki/%D0%A1%D0%B5%D1%80%D0%B3%D0%B8%D0%B5%D0%B2%D1%81%D0%BA%D0%BE%D0%B5-%D0%9A%D0%BE%D0%BD%D1%8C%D0%BA%D0%BE%D0%B2%D0%BE,97
Церковь Архангела Михаила в Станиславле,Церковь Архангела Михаила,исторический храм / монастырь,"Тихая архитектурная точка, заметная в исторической среде района. Есть региональный охранный статус. До ближайшего монумента — «Беседка ""Прибрежная""», около 5.34 км.",37.36277778,5341,"Беседка ""Прибрежная""",https://ru.wikipedia.org/wiki/%D0%A6%D0%B5%D1%80%D0%BA%D0%BE%D0%B2%D1%8C_%D0%90%D1%80%D1%85%D0%B0%D0%BD%D0%B3%D0%B5%D0%BB%D0%B0_%D0%9C%D0%B8%D1%85%D0%B0%D0%B8%D0%BB%D0%B0_%D0%B2_%D0%A1%D1%82%D0%B0%D0%BD%D0%B8%D1%81%D0%BB%D0%B0%D0%B2%D0%BB%D0%B5,91
храм Архангела Михаила,Храм Архангела Михаила,исторический храм / монастырь,"Сохранившийся православный храм в деревне Летово Новомосковского административного округа Москвы. До ближайшего монумента — «Красный Бык», около 3.70 км.",37.4078,3703,Красный Бык,https://ru.wikipedia.org/wiki/%D0%A5%D1%80%D0%B0%D0%BC_%D0%90%D1%80%D1%85%D0%B0%D0%BD%D0%B3%D0%B5%D0%BB%D0%B0_%D0%9C%D0%B8%D1%85%D0%B0%D0%B8%D0%BB%D0%B0_(%D0%9B%D0%B5%D1%82%D0%BE%D0%B2%D0%BE),91
Чазовский дом,Чазовский дом,историческое здание,"Можно рассмотреть фрагмент исторической застройки без музейной торжественности. Сохраняет признаки объекта наследия. До ближайшего монумента — «Полёт», около 3.63 км.",37.399667,3627,Полёт,https://ru.wikipedia.org/wiki/%D0%A7%D0%B0%D0%B7%D0%BE%D0%B2%D1%81%D0%BA%D0%B8%D0%B9_%D0%B4%D0%BE%D0%BC,91
Храм Рождества Христова в Черкизове,Храм Рождества Христова,исторический храм / монастырь,"Тихая архитектурная точка, заметная в исторической среде района. Есть региональный охранный статус. До ближайшего монумента — «Шаляпинская усадьба», около 3.42 км.",37.353275,3422,Шаляпинская усадьба,https://ru.wikipedia.org/wiki/%D0%A5%D1%80%D0%B0%D0%BC_%D0%A0%D0%BE%D0%B6%D0%B4%D0%B5%D1%81%D1%82%D0%B2%D0%B0_%D0%A5%D1%80%D0%B8%D1%81%D1%82%D0%BE%D0%B2%D0%B0_%D0%B2_%D0%A7%D0%B5%D1%80%D0%BA%D0%B8%D0%B7%D0%BE%D0%B2%D0%B5,91
Крылатское (велотрасса),Крылатское,спортивная арена / стадион,"Связано со спортивной жизнью города и крупными событиями района. До ближайшего монумента — «Pier», около 3.03 км.",37.422611111,3031,Pier,https://ru.wikipedia.org/wiki/%D0%9A%D1%80%D1%8B%D0%BB%D0%B0%D1%82%D1%81%D0%BA%D0%BE%D0%B5_(%D0%B2%D0%B5%D0%BB%D0%BE%D1%82%D1%80%D0%B0%D1%81%D1%81%D0%B0),91
Храм Владимирской иконы Божией Матери в Виноградове,Храм Владимирской иконы,исторический храм / монастырь,"Тихая архитектурная точка, заметная в исторической среде района. Есть федеральный охранный статус. До ближайшего монумента — «Airship», около 2.99 км.",37.546388888,2987,Airship,https://ru.wikipedia.org/wiki/%D0%A5%D1%80%D0%B0%D0%BC_%D0%92%D0%BB%D0%B0%D0%B4%D0%B8%D0%BC%D0%B8%D1%80%D1%81%D0%BA%D0%BE%D0%B9_%D0%B8%D0%BA%D0%BE%D0%BD%D1%8B_%D0%91%D0%BE%D0%B6%D0%B8%D0%B5%D0%B9_%D0%9C%D0%B0%D1%82%D0%B5%D1%80%D0%B8_%D0%B2_%D0%92%D0%B8%D0%BD%D0%BE%D0%B3%D1%80%D0%B0%D0%B4%D0%BE%D0%B2%D0%B5,91
Храм Рождества Пресвятой Богородицы в Крылатском,Храм Рождества Богородицы,исторический храм / монастырь,"Тихая архитектурная точка, заметная в исторической среде района. Есть федеральный охранный статус. До ближайшего монумента — «Усадьба Нарышкиных», около 2.88 км.",37.425583333,2883,Усадьба Нарышкиных,https://ru.wikipedia.org/wiki/%D0%A5%D1%80%D0%B0%D0%BC_%D0%A0%D0%BE%D0%B6%D0%B4%D0%B5%D1%81%D1%82%D0%B2%D0%B0_%D0%9F%D1%80%D0%B5%D1%81%D0%B2%D1%8F%D1%82%D0%BE%D0%B9_%D0%91%D0%BE%D0%B3%D0%BE%D1%80%D0%BE%D0%B4%D0%B8%D1%86%D1%8B_%D0%B2_%D0%9A%D1%80%D1%8B%D0%BB%D0%B0%D1%82%D1%81%D0%BA%D0%BE%D0%BC,91
Храм Троицы Живоначальной в Конькове,Храм Троицы,исторический храм / монастырь,"Тихая архитектурная точка, заметная в исторической среде района. Есть федеральный охранный статус. До ближайшего монумента — «Bitsa forest», около 2.68 км.",37.519317,2680,Bitsa forest,https://ru.wikipedia.org/wiki/%D0%A5%D1%80%D0%B0%D0%BC_%D0%A2%D1%80%D0%BE%D0%B8%D1%86%D1%8B_%D0%96%D0%B8%D0%B2%D0%BE%D0%BD%D0%B0%D1%87%D0%B0%D0%BB%D1%8C%D0%BD%D0%BE%D0%B9_%D0%B2_%D0%9A%D0%BE%D0%BD%D1%8C%D0%BA%D0%BE%D0%B2%D0%B5,91
Строкинское укрепление,Строкинское укрепление,историческое здание,"Можно рассмотреть фрагмент исторической застройки без музейной торжественности. Считается ценной частью городской среды. До ближайшего монумента — «Спутник-1», около 2.58 км.",37.835534,2584,Спутник-1,https://ru.wikipedia.org/wiki/%D0%A1%D1%82%D1%80%D0%BE%D0%BA%D0%B8%D0%BD%D1%81%D0%BA%D0%B8%D0%B9_%D0%BA%D0%B8%D1%80%D0%BF%D0%B8%D1%87%D0%BD%D1%8B%D0%B9_%D0%B7%D0%B0%D0%B2%D0%BE%D0%B4,91
Крылатское (велотрек),Крылатское,спортивная арена / стадион,"Связано со спортивной жизнью города и крупными событиями района. До ближайшего монумента — «Pier», около 2.55 км.",37.433041,2551,Pier,https://ru.wikipedia.org/wiki/%D0%9A%D1%80%D1%8B%D0%BB%D0%B0%D1%82%D1%81%D0%BA%D0%BE%D0%B5_(%D0%B2%D0%B5%D0%BB%D0%BE%D1%82%D1%80%D0%B5%D0%BA),91
Виноградово,Усадьба Виноградово,усадьба или дворец,"Подойдёт для спокойного знакомства с московской усадебной архитектурой. Есть федеральный охранный статус. До ближайшего монумента — «Airship», около 2.49 км.",37.53847,2491,Airship,https://ru.wikipedia.org/wiki/%D0%92%D0%B8%D0%BD%D0%BE%D0%B3%D1%80%D0%B0%D0%B4%D0%BE%D0%B2%D0%BE_(%D1%83%D1%81%D0%B0%D0%B4%D1%8C%D0%B1%D0%B0),90
усадьба Люблино,Усадьба Люблино,усадьба / дворец / особняк,"Палладианская усадьба в Москве. До ближайшего монумента — «Скульптура из дерева», около 2.28 км.",37.74333,2279,Скульптура из дерева,https://ru.wikipedia.org/wiki/%D0%9B%D1%8E%D0%B1%D0%BB%D0%B8%D0%BD%D0%BE_(%D1%83%D1%81%D0%B0%D0%B4%D1%8C%D0%B1%D0%B0),90
Крепостной театр Дурасова,Театр Дурасова,театр,"Камерная культурная точка для тех, кто ищет районную сцену. Есть федеральный охранный статус. До ближайшего монумента — «Ломаковский музей», около 2.23 км.",37.744722222,2231,Ломаковский музей,https://ru.wikipedia.org/wiki/%D0%9A%D1%80%D0%B5%D0%BF%D0%BE%D1%81%D1%82%D0%BD%D0%BE%D0%B9_%D1%82%D0%B5%D0%B0%D1%82%D1%80_%D0%94%D1%83%D1%80%D0%B0%D1%81%D0%BE%D0%B2%D0%B0,90
Покровское-Стрешнево,Усадьба Покровское-Стрешнево,усадьба / дворец / особняк,"Усадьба на северо-западе Москвы. До ближайшего монумента — «Стадион Спартак», около 1.95 км.",37.47152,1949,Стадион Спартак,https://ru.wikipedia.org/wiki/%D0%9F%D0%BE%D0%BA%D1%80%D0%BE%D0%B2%D1%81%D0%BA%D0%BE%D0%B5-%D0%A1%D1%82%D1%80%D0%B5%D1%88%D0%BD%D0%B5%D0%B2%D0%BE_(%D1%83%D1%81%D0%B0%D0%B4%D1%8C%D0%B1%D0%B0),90
Грачёвский парк,Грачёвский парк,знаковое городское место,"Зелёное место для прогулки; площадь около 21,1 га. До ближайшего монумента — «Apple garden», около 1.92 км.",37.506666666,1924,Apple garden,https://ru.wikipedia.org/wiki/%D0%93%D1%80%D0%B0%D1%87%D1%91%D0%B2%D1%81%D0%BA%D0%B8%D0%B9_%D0%BF%D0%B0%D1%80%D0%BA,90
Филимонки (усадьба),Усадьба Филимонки,усадьба / дворец / особняк,"Подойдёт для спокойного знакомства с московской усадебной архитектурой. Есть федеральный охранный статус. До ближайшего монумента — «Беседка ""Прибрежная""», около 1.83 км.",37.35294,1828,"Беседка ""Прибрежная""",https://ru.wikipedia.org/wiki/%D0%A4%D0%B8%D0%BB%D0%B8%D0%BC%D0%BE%D0%BD%D0%BA%D0%B8_(%D1%83%D1%81%D0%B0%D0%B4%D1%8C%D0%B1%D0%B0),90
Горки-9,Усадьба Горки-9,усадьба или дворец,"Резиденция Президента Российской Федерации. До ближайшего монумента — «Петрово-Дальнее», около 3.20 км.",37.13579,3204,Петрово-Дальнее,https://ru.wikipedia.org/wiki/%D0%93%D0%BE%D1%80%D0%BA%D0%B8-9,87
Новоподрезково,Новоподрезково,необычное здание,"Микрорайон в Молжаниновском районе Северного административного округа Москвы. До ближайшего монумента — «Парк имени Величко», около 3.14 км.",37.344166666,3143,Парк имени Величко,https://ru.wikipedia.org/wiki/%D0%9D%D0%BE%D0%B2%D0%BE%D0%BF%D0%BE%D0%B4%D1%80%D0%B5%D0%B7%D0%BA%D0%BE%D0%B2%D0%BE_(%D0%9C%D0%BE%D1%81%D0%BA%D0%B2%D0%B0),87
Московский детский музыкально-драматический театр «Поколение»,Театр Поколение,театр,"Камерная культурная точка для тех, кто ищет районную сцену. До ближайшего монумента — «Сухой фонтан», около 2.53 км.",37.78391667,2527,Сухой фонтан,https://ru.wikipedia.org/wiki/%D0%9F%D0%BE%D0%BA%D0%BE%D0%BB%D0%B5%D0%BD%D0%B8%D0%B5_(%D1%82%D0%B5%D0%B0%D1%82%D1%80),87
Церковь Николая Чудотворца в Троекурове,Церковь Николая Чудотворца,исторический храм / монастырь,"Тихая архитектурная точка, заметная в исторической среде района. Есть региональный охранный статус. До ближайшего монумента — «Дача Д. Филиппова», около 2.45 км.",37.41125,2446,Дача Д. Филиппова,https://ru.wikipedia.org/wiki/%D0%A5%D1%80%D0%B0%D0%BC_%D0%9D%D0%B8%D0%BA%D0%BE%D0%BB%D0%B0%D1%8F_%D0%A7%D1%83%D0%B4%D0%BE%D1%82%D0%B2%D0%BE%D1%80%D1%86%D0%B0_%D0%B2_%D0%A2%D1%80%D0%BE%D0%B5%D0%BA%D1%83%D1%80%D0%BE%D0%B2%D0%B5,84
Малое Голубино,Малое Голубино,историческое здание,"Можно рассмотреть фрагмент исторической застройки без музейной торжественности. Есть региональный охранный статус. До ближайшего монумента — «Шишки», около 2.39 км.",37.50833,2391,Шишки,https://ru.wikipedia.org/wiki/%D0%9C%D0%B0%D0%BB%D0%BE%D0%B5_%D0%93%D0%BE%D0%BB%D1%83%D0%B1%D0%B8%D0%BD%D0%BE,84
Баскет Холл,Баскет Холл,спортивная арена / стадион,"Связано со спортивной жизнью города и крупными событиями района. До ближайшего монумента — «Усадьба Нарышкиных», около 2.30 км.",37.44338889,2302,Усадьба Нарышкиных,https://ru.wikipedia.org/wiki/%D0%91%D0%B0%D1%81%D0%BA%D0%B5%D1%82_%D0%A5%D0%BE%D0%BB%D0%BB_%D0%9C%D0%BE%D1%81%D0%BA%D0%B2%D0%B0,84
