score,short_name,name,type_ru,lat,lng,nearest_distance_m,nearest_monument,justification,article,qid,layer
"97","Остафьево","усадьба Остафьево","усадьба / дворец / особняк","55.49609","37.50132","3811","Дерево желаний","усадьба Остафьево — бывшая городская усадьба Вяземских-Шереметевых в селе Остафьево. Охранный статус: объект культурного наследия России федерального значения. До ближайшего монумента («Дерево желаний») около 3.81 км.","https://ru.wikipedia.org/wiki/%D0%9E%D1%81%D1%82%D0%B0%D1%84%D1%8C%D0%B5%D0%B2%D0%BE_(%D1%83%D1%81%D0%B0%D0%B4%D1%8C%D0%B1%D0%B0)","Q4338569","estate_palace"
"97","Крёкшино","Крёкшино (усадьба)","усадьба / дворец / особняк","55.59555556","37.1075","3742","Лосиха и лосёнок","Крёкшино (усадьба) — историческая усадьба, дворец или особняк с выразительной архитектурой и собственной историей места. Охранный статус: выявленный объект культурного наследия России. До ближайшего монумента («Лосиха и лосёнок») около 3.74 км.","https://ru.wikipedia.org/wiki/%D0%9A%D1%80%D1%91%D0%BA%D1%88%D0%B8%D0%BD%D0%BE_(%D1%83%D1%81%D0%B0%D0%B4%D1%8C%D0%B1%D0%B0)","Q4243272","estate_palace"
"97","Сергиевское-Коньково","Сергиевское-Коньково","усадьба или дворец","55.63805556","37.51916667","2685","Bitsa forest","Сергиевское-Коньково — историческая усадьба, дворец или особняк с выразительной архитектурой и собственной историей места. Охранный статус: объект культурного наследия России федерального значения. До ближайшего монумента («Bitsa forest») около 2.69 км.","https://ru.wikipedia.org/wiki/%D0%A1%D0%B5%D1%80%D0%B3%D0%B8%D0%B5%D0%B2%D1%81%D0%BA%D0%BE%D0%B5-%D0%9A%D0%BE%D0%BD%D1%8C%D0%BA%D0%BE%D0%B2%D0%BE","Q4417077","estate_palace"
"91","Церковь","Церковь Архангела Михаила в Станиславле","исторический храм / монастырь","55.52333333","37.36277778","5341","Беседка ""Прибрежная""","Церковь Архангела Михаила в Станиславле — храмовый или монастырский объект с архитектурной, исторической и локальной культурной ценностью. Охранный статус: объект культурного наследия России регионального значения. До ближайшего монумента («Беседка ""Прибрежная""») около 5.34 км.","https://ru.wikipedia.org/wiki/%D0%A6%D0%B5%D1%80%D0%BA%D0%BE%D0%B2%D1%8C_%D0%90%D1%80%D1%85%D0%B0%D0%BD%D0%B3%D0%B5%D0%BB%D0%B0_%D0%9C%D0%B8%D1%85%D0%B0%D0%B8%D0%BB%D0%B0_%D0%B2_%D0%A1%D1%82%D0%B0%D0%BD%D0%B8%D1%81%D0%BB%D0%B0%D0%B2%D0%BB%D0%B5","Q16715551","heritage_building"
"91","Храм Архангела Михаила","храм Архангела Михаила","исторический храм / монастырь","55.564069","37.4078","3703","Красный Бык","храм Архангела Михаила — православный храм в деревне Летово Новомосковского административного округа Москвы. Охранный статус: объект культурного наследия России регионального значения. До ближайшего монумента («Красный Бык») около 3.70 км.","https://ru.wikipedia.org/wiki/%D0%A5%D1%80%D0%B0%D0%BC_%D0%90%D1%80%D1%85%D0%B0%D0%BD%D0%B3%D0%B5%D0%BB%D0%B0_%D0%9C%D0%B8%D1%85%D0%B0%D0%B8%D0%BB%D0%B0_(%D0%9B%D0%B5%D1%82%D0%BE%D0%B2%D0%BE)","Q4500700","heritage_building"
"91","Чазовский дом","Чазовский дом","историческое здание","55.757753","37.399667","3627","Полёт","Чазовский дом — исторический или архитектурный объект, отмеченный в городском наследии и выделяющийся среди обычной застройки. Охранный статус: объект, обладающий признаками объекта культурного наследия. До ближайшего монумента («Полёт») около 3.63 км.","https://ru.wikipedia.org/wiki/%D0%A7%D0%B0%D0%B7%D0%BE%D0%B2%D1%81%D0%BA%D0%B8%D0%B9_%D0%B4%D0%BE%D0%BC","Q86674937","heritage_building"
"91","Храм","Храм Рождества Христова в Черкизове","исторический храм / монастырь","55.949483333","37.353275","3422","Шаляпинская усадьба","Храм Рождества Христова в Черкизове — храмовый или монастырский объект с архитектурной, исторической и локальной культурной ценностью. Охранный статус: объект культурного наследия России регионального значения. До ближайшего монумента («Шаляпинская усадьба») около 3.42 км.","https://ru.wikipedia.org/wiki/%D0%A5%D1%80%D0%B0%D0%BC_%D0%A0%D0%BE%D0%B6%D0%B4%D0%B5%D1%81%D1%82%D0%B2%D0%B0_%D0%A5%D1%80%D0%B8%D1%81%D1%82%D0%BE%D0%B2%D0%B0_%D0%B2_%D0%A7%D0%B5%D1%80%D0%BA%D0%B8%D0%B7%D0%BE%D0%B2%D0%B5","Q4500933","heritage_building"
"91","Крылатское","Крылатское (велотрасса)","спортивная арена / стадион","55.760833333","37.422611111","3031","Pier","Крылатское (велотрасса) — спортивная арена или стадион, связанный с соревнованиями, тренировками и городской спортивной жизнью. До ближайшего монумента («Pier») около 3.03 км.","https://ru.wikipedia.org/wiki/%D0%9A%D1%80%D1%8B%D0%BB%D0%B0%D1%82%D1%81%D0%BA%D0%BE%D0%B5_(%D0%B2%D0%B5%D0%BB%D0%BE%D1%82%D1%80%D0%B0%D1%81%D1%81%D0%B0)","Q20965970","sports"
"91","Храм","Храм Владимирской иконы Божией Матери в Виноградове","исторический храм / монастырь","55.9425","37.546388888","2987","Airship","Храм Владимирской иконы Божией Матери в Виноградове — храмовый или монастырский объект с архитектурной, исторической и локальной культурной ценностью. Охранный статус: объект культурного наследия России федерального значения. До ближайшего монумента («Airship») около 2.99 км.","https://ru.wikipedia.org/wiki/%D0%A5%D1%80%D0%B0%D0%BC_%D0%92%D0%BB%D0%B0%D0%B4%D0%B8%D0%BC%D0%B8%D1%80%D1%81%D0%BA%D0%BE%D0%B9_%D0%B8%D0%BA%D0%BE%D0%BD%D1%8B_%D0%91%D0%BE%D0%B6%D0%B8%D0%B5%D0%B9_%D0%9C%D0%B0%D1%82%D0%B5%D1%80%D0%B8_%D0%B2_%D0%92%D0%B8%D0%BD%D0%BE%D0%B3%D1%80%D0%B0%D0%B4%D0%BE%D0%B2%D0%B5","Q4500731","heritage_building"
"91","Храм","Храм Рождества Пресвятой Богородицы в Крылатском","исторический храм / монастырь","55.755555555","37.425583333","2883","Усадьба Нарышкиных","Храм Рождества Пресвятой Богородицы в Крылатском — храмовый или монастырский объект с архитектурной, исторической и локальной культурной ценностью. Охранный статус: объект культурного наследия России федерального значения. До ближайшего монумента («Усадьба Нарышкиных») около 2.88 км.","https://ru.wikipedia.org/wiki/%D0%A5%D1%80%D0%B0%D0%BC_%D0%A0%D0%BE%D0%B6%D0%B4%D0%B5%D1%81%D1%82%D0%B2%D0%B0_%D0%9F%D1%80%D0%B5%D1%81%D0%B2%D1%8F%D1%82%D0%BE%D0%B9_%D0%91%D0%BE%D0%B3%D0%BE%D1%80%D0%BE%D0%B4%D0%B8%D1%86%D1%8B_%D0%B2_%D0%9A%D1%80%D1%8B%D0%BB%D0%B0%D1%82%D1%81%D0%BA%D0%BE%D0%BC","Q2383349","heritage_building"
